Item Name,Qty,Price (total) (GBP),Item link,Notes
SWITCH JOYSTICK ANALOG,1,$5.25,https://www.digikey.co.uk/en/products/detail/sparkfun-electronics/09032/6823623?gclsrc=aw.ds&gad_source=1&gad_campaignid=22862122441&gbraid=0AAAAADrbLlhHmwedSiHdzu1d1L5vLU17M&gclid=Cj0KCQjw8JPVBhD-ARIsAO691sEX9QB7JkpA-wpSUwYWKTLjut_0l4viwv3B0KLstsPMIyDOVJxw2ecaAhPHEALw_wcB,joystick
Common 6mmx6mm Push Button,3,$0.11,https://www.digikey.co.uk/en/products/detail/same-sky-formerly-cui-devices-/TS02-66-60-BK-260-LCR-D/15634351?gclsrc=aw.ds&gad_source=1&gad_campaignid=22392918189&gbraid=0AAAAADrbLlidk7WQEmzQfCOK7z9ziNOLn&gclid=Cj0KCQjw8JPVBhD-ARIsAO691sFfJuTnqFowa_0tWKjA49h5v74oih0koAvDXi4kq7sTQM6DMBLAtrIaAuVMEALw_wcB,button
"Adafruit 1.9"" TFT ST7789",1,$17.50,https://www.adafruit.com/product/5394?srsltid=AfmBOophuHqpdUJFZfKz4DeAITElPSZMM4EFyHHkXdHjEvxgl8XHLZsR,screen
XIAO ESP32-C3,1,$5.80,https://thepihut.com/products/seeed-xiao-esp32c3?srsltid=AfmBOoqiV9xAmMa5i1TY2U5Jts3wCmZhVUiAdMZCVzX9vLG225rN82bB&variant=53975115694465,microcontroller
,,,,
PLA Matte Red Filament,1,$20.99,https://uk.store.bambulab.com/products/pla-matte?id=40589886259260,"filament (if im not allowed to includer filament please dont reject, just include it as a note so that i dont buy this thx)"
PLA Matte Red Filament,1,$20.99,https://uk.store.bambulab.com/products/pla-matte?id=40589886095420,filament
,,,,
PCB ,1,$75.15,NA,pcb from jlc (price is high because i need assembly)
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total Price (GBP):,$145.79,,,
Total Price (GBP):,$197.32,,,
